Experiment_Type,Category,Num_Agents,Temperature,Ctx_Size,Model,Turn_Policy,Run_ID,Turns_Taken,Correct_Option,Elapsed_Seconds,Avg_Turn_Seconds,N_Turns,File,Agents_Verdict,Is_Correct,BERTScore_F1,BLEU,ROUGE_L,Speaker_Gini,Silent_Agents,Avg_Turn_Length,Max_Speaker_Share
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,0,11,No,100.152,9.105,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run0/question_0.json,No,1,0.7644,0.0,0.0,0.0455,0.0,799.82,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,0,9,Yes,102.375,11.375,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run0/question_1.json,No,0,0.7639,0.0,0.0,0.0556,0.0,1038.22,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,0,9,Yes,89.005,9.889,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run0/question_10.json,Yes,1,0.763,0.0,0.0,0.0556,0.0,916.33,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,0,3,No,27.805,9.268,3,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run0/question_2.json,Yes,0,0.7676,0.0,0.0,0.1667,0.0,926.33,0.6667
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,0,7,No,46.487,6.641,7,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run0/question_3.json,No,1,0.7766,0.0,0.0,0.0714,0.0,469.43,0.5714
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,0,6,No,61.097,10.183,6,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run0/question_4.json,No,1,0.7691,0.0,0.0,0.0,0.0,1061.17,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,0,13,Yes,128.095,9.853,13,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run0/question_5.json,No,0,0.764,0.0,0.0,0.0385,0.0,836.15,0.5385
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,0,9,No,80.951,8.995,9,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run0/question_6.json,No,1,0.7658,0.0,0.0,0.0556,0.0,718.33,0.5556
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,0,12,Yes,113.94,9.495,12,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run0/question_7.json,Yes,1,0.7659,0.0,0.0,0.0,0.0,754.42,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,0,12,Yes,104.75,8.729,12,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run0/question_8.json,No,0,0.7662,0.0,0.0,0.0,0.0,711.08,0.5
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,0,11,Yes,105.218,9.565,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run0/question_9.json,No,0,0.7602,0.0,0.0,0.0455,0.0,883.36,0.5455
multi_agent,causal_judgment,2,0.1,4096,llama3.2:3b,moderator,1,11,No,99.443,9.04,11,results_tfg/causal_judgment_agents2_temp0.1_ctx4096_llama3.2-3b_turn-moderator_run1/question_0.json,No,1,0.7724,0.0,0.0,0.0455,0.0,777.45,0.5455
